Filename,Construction Method,Initial Cost,Perturbative Method,Optimized Cost,Cost Reduced
a280.tsp,Nearest Neighbour Insertion,3148.109935,2-Opt,2726.205579,421.904356
a280.tsp,Nearest Neighbour Insertion,3148.109935,Node Shift,2887.066733,261.043202
a280.tsp,Nearest Neighbour Insertion,3148.109935,Node Swap,3089.436390,58.673545
a280.tsp,Cheapest Insertion,3101.793551,2-Opt,2788.365810,313.427741
a280.tsp,Cheapest Insertion,3101.793551,Node Shift,2769.443062,332.350489
a280.tsp,Cheapest Insertion,3101.793551,Node Swap,3040.445419,61.348132
a280.tsp,Greedy,2960.478381,2-Opt,2625.731850,334.746531
a280.tsp,Greedy,2960.478381,Node Shift,2764.750779,195.727602
a280.tsp,Greedy,2960.478381,Node Swap,2910.890003,49.588378
berlin52.tsp,Nearest Neighbour Insertion,8980.918279,2-Opt,7841.387788,1139.530491
berlin52.tsp,Nearest Neighbour Insertion,8980.918279,Node Shift,8221.690663,759.227616
berlin52.tsp,Nearest Neighbour Insertion,8980.918279,Node Swap,8508.711614,472.206666
berlin52.tsp,Cheapest Insertion,9014.893160,2-Opt,8582.740727,432.152433
berlin52.tsp,Cheapest Insertion,9014.893160,Node Shift,8400.461285,614.431875
berlin52.tsp,Cheapest Insertion,9014.893160,Node Swap,8899.831069,115.062091
berlin52.tsp,Greedy,9954.062698,2-Opt,8300.359183,1653.703516
berlin52.tsp,Greedy,9954.062698,Node Shift,8511.289675,1442.773023
berlin52.tsp,Greedy,9954.062698,Node Swap,9286.984800,667.077898
bier127.tsp,Nearest Neighbour Insertion,135751.778048,2-Opt,120473.769958,15278.008090
bier127.tsp,Nearest Neighbour Insertion,135751.778048,Node Shift,123225.196512,12526.581536
bier127.tsp,Nearest Neighbour Insertion,135751.778048,Node Swap,128540.322775,7211.455273
bier127.tsp,Cheapest Insertion,140690.935457,2-Opt,135847.337027,4843.598430
bier127.tsp,Cheapest Insertion,140690.935457,Node Shift,128980.871042,11710.064415
bier127.tsp,Cheapest Insertion,140690.935457,Node Swap,138983.576485,1707.358972
bier127.tsp,Greedy,141351.089453,2-Opt,125324.088863,16027.000590
bier127.tsp,Greedy,141351.089453,Node Shift,123180.093980,18170.995473
bier127.tsp,Greedy,141351.089453,Node Swap,132236.365111,9114.724342
ch130.tsp,Nearest Neighbour Insertion,7575.286292,2-Opt,6475.817052,1099.469239
ch130.tsp,Nearest Neighbour Insertion,7575.286292,Node Shift,6897.159536,678.126755
ch130.tsp,Nearest Neighbour Insertion,7575.286292,Node Swap,7404.228396,171.057896
ch130.tsp,Cheapest Insertion,7279.207596,2-Opt,6706.097530,573.110066
ch130.tsp,Cheapest Insertion,7279.207596,Node Shift,6693.743985,585.463612
ch130.tsp,Cheapest Insertion,7279.207596,Node Swap,6702.552228,576.655368
ch130.tsp,Greedy,7844.935433,2-Opt,6331.214681,1513.720751
ch130.tsp,Greedy,7844.935433,Node Shift,7001.718747,843.216685
ch130.tsp,Greedy,7844.935433,Node Swap,7684.889550,160.045883
ch150.tsp,Nearest Neighbour Insertion,8194.614332,2-Opt,6622.824885,1571.789446
ch150.tsp,Nearest Neighbour Insertion,8194.614332,Node Shift,7425.332245,769.282086
ch150.tsp,Nearest Neighbour Insertion,8194.614332,Node Swap,8065.069225,129.545106
ch150.tsp,Cheapest Insertion,7994.286925,2-Opt,7317.208906,677.078020
ch150.tsp,Cheapest Insertion,7994.286925,Node Shift,6939.332356,1054.954570
ch150.tsp,Cheapest Insertion,7994.286925,Node Swap,7696.009121,298.277804
ch150.tsp,Greedy,7743.035625,2-Opt,6814.722624,928.313001
ch150.tsp,Greedy,7743.035625,Node Shift,7257.706035,485.329590
ch150.tsp,Greedy,7743.035625,Node Swap,7626.389611,116.646014
eil101.tsp,Nearest Neighbour Insertion,825.242323,2-Opt,658.933608,166.308714
eil101.tsp,Nearest Neighbour Insertion,825.242323,Node Shift,679.620497,145.621826
eil101.tsp,Nearest Neighbour Insertion,825.242323,Node Swap,773.242627,51.999696
eil101.tsp,Cheapest Insertion,702.960386,2-Opt,686.190877,16.769509
eil101.tsp,Cheapest Insertion,702.960386,Node Shift,670.789333,32.171053
eil101.tsp,Cheapest Insertion,702.960386,Node Swap,689.193412,13.766974
eil101.tsp,Greedy,794.603568,2-Opt,669.075100,125.528468
eil101.tsp,Greedy,794.603568,Node Shift,672.396564,122.207004
eil101.tsp,Greedy,794.603568,Node Swap,720.168349,74.435219
eil51.tsp,Nearest Neighbour Insertion,513.610007,2-Opt,435.507285,78.102722
eil51.tsp,Nearest Neighbour Insertion,513.610007,Node Shift,466.275902,47.334105
eil51.tsp,Nearest Neighbour Insertion,513.610007,Node Swap,482.237251,31.372756
eil51.tsp,Cheapest Insertion,496.252178,2-Opt,457.820764,38.431415
eil51.tsp,Cheapest Insertion,496.252178,Node Shift,456.604429,39.647749
eil51.tsp,Cheapest Insertion,496.252178,Node Swap,480.248938,16.003240
eil51.tsp,Greedy,481.518619,2-Opt,437.408661,44.109958
eil51.tsp,Greedy,481.518619,Node Shift,456.446626,25.071992
eil51.tsp,Greedy,481.518619,Node Swap,467.429027,14.089592
eil76.tsp,Nearest Neighbour Insertion,711.993293,2-Opt,570.106232,141.887061
eil76.tsp,Nearest Neighbour Insertion,711.993293,Node Shift,593.946068,118.047225
eil76.tsp,Nearest Neighbour Insertion,711.993293,Node Swap,628.954017,83.039276
eil76.tsp,Cheapest Insertion,612.390862,2-Opt,597.499724,14.891138
eil76.tsp,Cheapest Insertion,612.390862,Node Shift,583.411698,28.979164
eil76.tsp,Cheapest Insertion,612.390862,Node Swap,597.694709,14.696153
eil76.tsp,Greedy,617.131482,2-Opt,551.731450,65.400032
eil76.tsp,Greedy,617.131482,Node Shift,583.013445,34.118036
eil76.tsp,Greedy,617.131482,Node Swap,601.978024,15.153457
kroA100.tsp,Nearest Neighbour Insertion,26856.388591,2-Opt,21921.431835,4934.956756
kroA100.tsp,Nearest Neighbour Insertion,26856.388591,Node Shift,24761.066743,2095.321848
kroA100.tsp,Nearest Neighbour Insertion,26856.388591,Node Swap,24274.949845,2581.438746
kroA100.tsp,Cheapest Insertion,24307.783889,2-Opt,23556.645225,751.138664
kroA100.tsp,Cheapest Insertion,24307.783889,Node Shift,22620.132275,1687.651614
kroA100.tsp,Cheapest Insertion,24307.783889,Node Swap,23556.645225,751.138664
kroA100.tsp,Greedy,24197.286357,2-Opt,21395.369124,2801.917233
kroA100.tsp,Greedy,24197.286357,Node Shift,22175.802023,2021.484334
kroA100.tsp,Greedy,24197.286357,Node Swap,22624.710719,1572.575637
kroB100.tsp,Nearest Neighbour Insertion,29155.043704,2-Opt,22346.609431,6808.434273
kroB100.tsp,Nearest Neighbour Insertion,29155.043704,Node Shift,24863.432958,4291.610746
kroB100.tsp,Nearest Neighbour Insertion,29155.043704,Node Swap,28594.185422,560.858282
kroB100.tsp,Cheapest Insertion,25580.915003,2-Opt,24155.206517,1425.708486
kroB100.tsp,Cheapest Insertion,25580.915003,Node Shift,24082.605495,1498.309508
kroB100.tsp,Cheapest Insertion,25580.915003,Node Swap,24442.255896,1138.659107
kroB100.tsp,Greedy,25815.219732,2-Opt,22354.289799,3460.929933
kroB100.tsp,Greedy,25815.219732,Node Shift,23180.617578,2634.602153
